product_id,product_name,upc,vendor,sku,price,in_stock,has_variants,product_url,product_cart_id,quantity_11Apr2023
251888,Blade Smart LED Strip - Coral Glow (39 inch) - Aqua Illumination,,Aqua Illumination,251888,469.99,TRUE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-coral-glow-aqua-illumination.html,15328,40
251889,Blade Smart LED Strip - Coral Glow (48 inch) - Aqua Illumination,,Aqua Illumination,251889,569.99,TRUE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-coral-glow-aqua-illumination.html,15329,48
252012,Blade LED Elevated Tank Mount,7.04E+11,Aqua Illumination,252012,21.99,TRUE,FALSE,https://www.bulkreefsupply.com/blade-led-elevated-tank-mount-aqua-illumination.html,15648,183
251972,Blade LED Mounting Clips,,Aqua Illumination,251972,8.49,TRUE,FALSE,https://www.bulkreefsupply.com/blade-smart-led-mounting-clips-aqua-illumination.html,15613,115
251885,Blade Smart LED Strip - Coral Glow (12 inch) - Aqua Illumination,,Aqua Illumination,251885,169.99,TRUE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-coral-glow-aqua-illumination.html,15325,32
251886,Blade Smart LED Strip - Coral Glow (21 inch) - Aqua Illumination,,Aqua Illumination,251886,269.99,TRUE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-coral-glow-aqua-illumination.html,15326,58
251891,Blade Smart LED Strip - Coral Glow (66 inch) - Aqua Illumination,,Aqua Illumination,251891,769.99,TRUE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-coral-glow-aqua-illumination.html,15331,10
251887,Blade Smart LED Strip - Coral Glow (30 inch) - Aqua Illumination,,Aqua Illumination,251887,369.99,TRUE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-coral-glow-aqua-illumination.html,15327,29
251890,Blade Smart LED Strip - Coral Glow (57 inch) - Aqua Illumination,,Aqua Illumination,251890,669.99,TRUE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-coral-glow-aqua-illumination.html,15330,16
251895,Blade Smart LED Strip - Freshwater (39 inch) - Aqua Illumination,,Aqua Illumination,251895,329.99,FALSE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-freshwater-aqua-illumination.html,15338,0
251892,Blade Smart LED Strip - Freshwater (12 inch) - Aqua Illumination,,Aqua Illumination,251892,139.99,FALSE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-freshwater-aqua-illumination.html,15335,0
251881,Blade Smart LED Strip - Coral Grow (39 inch) - Aqua Illumination,,Aqua Illumination,251881,329.99,FALSE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-coral-grow-aqua-illumination.html,15320,0
251879,Blade Smart LED Strip - Coral Grow (21 inch) - Aqua Illumination,,Aqua Illumination,251879,189.99,TRUE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-coral-grow-aqua-illumination.html,15318,77
251896,Blade Smart LED Strip - Freshwater (48 inch) - Aqua Illumination,,Aqua Illumination,251896,399.99,TRUE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-freshwater-aqua-illumination.html,15339,10
251882,Blade Smart LED Strip - Coral Grow (48 inch) - Aqua Illumination,,Aqua Illumination,251882,399.99,TRUE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-coral-grow-aqua-illumination.html,15321,31
251878,Blade Smart LED Strip - Coral Grow (12 inch) - Aqua Illumination,,Aqua Illumination,251878,139.99,TRUE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-coral-grow-aqua-illumination.html,15317,3
251880,Blade Smart LED Strip - Coral Grow (30 inch) - Aqua Illumination,,Aqua Illumination,251880,239.99,TRUE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-coral-grow-aqua-illumination.html,15319,71
251883,Blade Smart LED Strip - Coral Grow (57 inch) - Aqua Illumination,,Aqua Illumination,251883,499.99,TRUE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-coral-grow-aqua-illumination.html,15322,21
251893,Blade Smart LED Strip - Freshwater (21 inch) - Aqua Illumination,,Aqua Illumination,251893,189.99,TRUE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-freshwater-aqua-illumination.html,15336,20
251894,Blade Smart LED Strip - Freshwater (30 inch) - Aqua Illumination,,Aqua Illumination,251894,239.99,TRUE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-freshwater-aqua-illumination.html,15337,1
251897,Blade Smart LED Strip - Freshwater (57 inch) - Aqua Illumination,,Aqua Illumination,251897,499.99,TRUE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-freshwater-aqua-illumination.html,15340,7
251898,Blade Smart LED Strip - Freshwater (66 inch) - Aqua Illumination,,Aqua Illumination,251898,599.99,TRUE,TRUE,https://www.bulkreefsupply.com/blade-smart-led-strip-freshwater-aqua-illumination.html,15341,3
250620,Hydra 32 HD LED Freshwater Light - Black Body,6.53E+11,Aqua Illumination,250620,429.99,TRUE,FALSE,https://www.bulkreefsupply.com/hydra-32-hd-led-freshwater-light-black-body-aqua-illumination.html,14099,4
250621,Hydra 32 HD LED Freshwater Light - White Body,6.53E+11,Aqua Illumination,250621,429.99,TRUE,FALSE,https://www.bulkreefsupply.com/hydra-32-hd-led-freshwater-light-white-body-aqua-illumination.html,14100,9
231837,Nero 3 Powerhead (2000 GPH),6.53E+11,Aqua Illumination,231837,179.99,TRUE,FALSE,https://www.bulkreefsupply.com/nero-3-powerhead-2000-gph-aqua-illumination.html,11273,188
212967,Hydra LED Flex Arm,6.53E+11,Aqua Illumination,212967,78.83,TRUE,FALSE,https://www.bulkreefsupply.com/hydra-led-flex-arm-aqua-illumination.html,10690,8
